Time,GN07N_MAIN_POWER,GN07N_SUB_POWER,GN07N_TEMP,GN07N_HIGH_TEMP,GN07N_MID_TEMP,GN07N_LOW_TEMP,GN07N_OVER_TEMP,GN07N_GAS_NRG,GN07N_GAS_AMM,GN07N_GAS_CDO,GN07N_PPIT,GN05N_MAIN_POWER,GN05M_MAIN_POWER,GN05M_TEMP,GN05M_HIGH_TEMP,GN05M_LOW_TEMP,GN05M_OVER_TEMP,GN05M_GAS_NRG,GN05M_GAS_AMM,GN05M_GAS_CDO,GN04N_MAIN_POWER,GN04M_MAIN_POWER,GN04M_TEMP,GN04M_HIGH_TEMP,GN04M_MID_TEMP,GN04M_LOW_TEMP,GN04M_OVER_TEMP,GN04M_GAS_NRG,GN04M_GAS_AMM,GN04M_GAS_CDO,GN03N_MAIN_POWER,GN02N_MAIN_POWER,GN02N_TEMP,GN02N_HIGH_TEMP,GN02N_MID_TEMP,GN02N_LOW_TEMP,GN02N_OVER_TEMP,GN02N_GAS_NRG,GN02N_GAS_AMM,GN02N_GAS_CDO,GN02N_PPIT
2022-01-02_10:17:48,9712.07,303,20.2,490,490,491,498,0,73.1,0,1,138.33,157,0,520,520,529,0,77,0,10017.2,0,0,40,41,40,37,0,0,0,5.3,157,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:51,9660.14,307,19.8,490,491,491,498,0,73.2,0,1,137.12,159,0,520,520,529,0,77,0,8444.13,0,0,40,41,40,37,0,0,0,5.8,159,0,520,522,520,529,0,77,0,2
2022-01-02_10:17:51,9521.11,308,20,490,491,491,498,0,73.1,0,1,139.21,159,0,520,520,529,0,77,0,7528.18,0,0,40,41,40,37,0,0,0,5.7,159,0,520,522,520,529,0,77,0,2
2022-01-02_10:17:52,9619.6,300,20,490,491,491,498,0,73.2,0,1,138.12,158,0,520,520,529,0,77.2,0,7706.48,0,0,40,41,40,36,0,0,0,4.5,158,0,520,522,520,529,0,77.2,0,2
2022-01-02_10:17:53,9639.5,296,20.1,490,491,491,498,0,73.3,0,1,330.64,161,0,520,520,529,0,77,0,8432,0,0,40,41,40,36,0,0,0,6.1,161,0,520,521,520,529,0,77,0,2
2022-01-02_10:17:54,9719.63,297,20.2,490,491,491,498,0,73.3,0,1,1843.09,162,0,520,520,529,0,77,0,10269.7,0,0,40,41,40,36,0,0,0,7,162,0,520,522,520,529,0,77,0,2
2022-01-02_10:17:55,9653.66,298,20,490,491,491,498,0,73.3,0,1,1844.38,160,0,520,520,529,0,76.9,0,9601.21,0,0,40,41,40,37,0,0,0,6.3,160,0,520,522,520,529,0,76.9,0,2
2022-01-02_10:17:56,9679.97,295,20.1,490,491,491,498,0,73.3,0,1,1841.4,157,0,520,520,529,0,76.8,0,8007.3,0,0,40,41,40,36,0,0,0,6.3,157,0,520,522,520,529,0,76.8,0,2
2022-01-02_10:17:57,9611.32,291,20.1,490,491,491,498,0,73.2,0,1,1835.46,157,0,520,520,529,0,76.8,0,7516.42,0,0,40,41,40,36,0,0,0,6.6,157,0,520,522,520,529,0,76.8,0,2
2022-01-02_10:17:58,9538.42,296,20.1,490,491,491,498,0,73.3,0,1,1833.19,160,0,520,520,529,0,76.9,0,7834.95,0,0,40,41,40,37,0,0,0,7.1,160,0,520,522,520,529,0,76.9,0,2
2022-01-02_10:17:59,9524.78,301,20.2,490,491,491,498,0,73.2,0,1,1838.79,160,0,520,520,529,0,76.9,0,9229.22,0,0,40,41,40,37,0,0,0,5,160,0,520,521,520,529,0,76.9,0,2
